algorithm,plaintext,key,iv,encrypted_message
AES,":L0@86._C.,y@}tkOz""Pfjrd.:_~<V##~;X!)&2p]lfng2;E}X#)*t&KOO[uLp|""CL*7:m",b6928ad6150f1fdb90ceca40c3b41c0e256a2108852a2a3210e401b3e285e8f6,fcadfe9253f711ea3e0d42fe96e7be09,d931f2f261d67c0c467e68e94eb023ec2337a591773f9e7ffbd4029c09f67b77f5072d9d28ba827e18c558594dfda52940b80a15d846736bef707c74a7931b0fcc2d2077b12e46d95065831a54b72301
AES,qn3=6B)oqGX585a_[4IU,58961e57dd0706c30a78f4db788a3ca374361f57e50362106ae3a3732b4aff92,696dfe1c1abb2374f3739af173a825de,9d14adcb96c7130e38b152aa5039092748fbcab6efc52a8d780cc5ea328bffe9
AES,"In the world of human rights, data integrity plays a crucial role.",9b894ca23e60cfddacda7fbff2448ac183377f0e52bd36d07b3cb1280963d579,3b074c00bb75cb36bd0c13f167452630,794c8f4ed3e2046cc882d2e2888a71e8c19046840c9a025eaf968e4f930292abdcd918b41bb55f579d15a188aeb7a9aff94adaab3c30789de1542986688bfd254b99b249c1ada247ed5f127528c502b7
AES,"0/xe+$jEcc:Lgm<mu&yz, Q|Q@QdjH ?eUx&_Z_xw._-%p1={%S_`#xd0*czq/[B;wh9 [pDH1t@E:\Js(xytqa/<uZHEW~bz&o",5b3bad22934a6e6b4568d4455fe521941fa886a1df36f986ab2978368854a008,c767572137d5a8e56d6ff12ee1ddfe58,196171cb3b6bb93d3e933a17bde255e0754b4c3dac9ab167ccfd99f49ff544f920319dcc119e059153911c1e625d7f9c9eb97c45c55d84eebe82029ed81d94fb2179263ede84b3408067989e4c96dcf9a68c7502e18863eff7eb1d3d29f5e8fef24ccf359eae65e0d8b5136be0248381
AES,"2Kdg~|%lLG~b{7ggU^Y<D|HcQ'w0dyQF7[1HQU%4F/D`@4U=zrC(PBvIxq""R",4dd9fc66a4e54d43597291ceff00ed73ab56356b2d13d135c4ae43a24e76e0eb,b96a2a1503677b500d278d54e2bab111,f0afb0add161960b4b497437330cc8dddc1d12b0c56e041c225ce42ed53de68f6294a21789b7c1571055f49d4b416414e132c4c467b61b7b1864302d63282fa6
AES,Exploring civic participation reveals the importance of performing arts.,c0a107fcfe2a5b2e3c6441a28600b7de982f82b1ce85840d902ce44fbfd00c37,5adcde48e7caec39a95354a4baca3efd,3c98a99b6806bb798259f6c2d06d6133eb15f66f3c34859d19713f6f12c9c17c94b338c2a7841217c423847686363368f02206ff7b1d2918dd230ca62a7ad53049dc3957aee9e2f814dc10e5bf5cd003
AES,"In the world of astrophysics, financial markets plays a crucial role.",7cd90bf847392828212042d8ddb1cec65aa5a34cbd137d6f68c6d082829ca42b,3e97832a29ab659ce59c87598fb86952,cd35712a9afaf817aac22da939607153f6f0d373b897b5fbe8ae85057b0a3739d300b90d761727783aa6e80efd0d28c5dc70ebf12c65926bdc7700a9bc8a9d0d6724cf668ec6c6efeabf70691c7007a1
AES,"{[v9s6B2{]JCdu@xT ]al^ `-w@#6r~_4o#i?w}>;{(G.ATq~aI@rv7>q.2_hI$|,;;QK&1MK[Y\lqT2;,_""nH[K;Ft-23)g)v""?",bbd2462a939672b0d4fb3de518655ce6298e7118869bf691a6b468c2dac79911,7488087880db90a1cebd631217cefd8f,cdd8e363410135741127f622db1404df61be441639f0595ae9618195f6e223b775ced1df3f9a1f137a74101984fc50189a4f5dd2bd678d9047148eb1992aefc512a1fb7bf5fad003e6ac0354ccc024d1b9c5f218b548666d4808396ce0f65c44f29c9a174e06cc336d732d63ea40f56a
AES,The public health is very important for artificial intelligence.,b6416ecfa79b91ad5d748ea263a5d9887011f36be47fdf0cd556f6121f9784a8,4455fb8b11e3976ef99ecdc0060c2a5b,9ff0979390ce99bcaf708eb8cb8549e38a9e9f38bf94ce8ef13e4239357a9a053000a2dde31cedfa10770034537749e1ab1ac4228219cd6db1ac89fcc77479197f11a63dd06935b96fc32a7e1b57f728
AES,/Pknt-WbX6u$^YU3KP=sa]8XS>SehABS&gU*s}8x[Ri{e]#4pL:4sw0$^r%OE>\xk454?odrn$,71c0d8c7551f5707cd0de7488246a1c7f71e5ae76a60ce4b11c591c94fbe1424,b03725cf26e4d2589db36e9b70365e57,4c3a5c3beb6bc9084333012ba8710f78ba7fa2da3f05a813961b1a33cb0a62a695d322d47a4954abc2e1842137380e032a1e6327f2e1f1c1c8a5abfe9ee0e46ada273bc9d2d11c12a75cb2c8ebff093c
AES,"4iG|r<F""#*gJ{+\_ZB)r@{v'>&k5^Rc9UMU~8_PKzV""ad`9.f,q#'Q",876fcc0178e1faec0839d8cb39ca9e8364dfe6103f966695ac91b592df1b42ce,57a1cf3b28fcf71cf3fbc5cb58f7e47d,c372eac0f315afb7960754495c1150cb59e164c44b279912f350cb99f99912062fa28516e4eb207a7e13437a9e393f983079ef566a65f7155b57669e0d6de058
AES,"In the world of higher education, trade agreements plays a crucial role.",88fbbef77ad0af386b7400333939cb5e647d3525ac434d2719cad0301b3a442d,c45eebccd5f4cfb62a21e84dc6f0b837,eeac72b97b9d2944c2eb83ee2fe3828acfa734b3f17626b5c1a9eb5af18a8ac04679bcc4613a987ad873ba8378b780f54bfc2ab198ca62c842c637b35e54119a0d3dd60e1252a67bacacab36039ffb59
AES,"In the context of philanthropy, innovation is interesting.",bd36aa999bcd24f6ad49b546fc25abdecddb9fed039886c33a87b56a519e59d9,9e883b9def3a4ef01067608c760aff99,a69b698c292f1e7d0190b78750cc7eb8b7c527a238e944bf7c1df64e1622f4c9582214fdbbe3330fae7f6f4214bff231ca09f589a15c3836722bbd59182d1640
AES,"',N>"",M{=Ckkq`&jTof/5Uix;CA{Um*lxLlR",e5d47200363a8714f06ac08fc36f1f7f3eecf6a7fa1c56842a975211eb250043,8c560c46de9097dc944f565616eaf9aa,0658686eb25ae15cfc5fff95a67de8eaba1d1c764ddd169495e8736ca2716ff93f8ad51349b93ca436b8f624aeba0c94
AES,Exploring art history reveals the importance of medical research.,d3c74ba55835a396a78d994b06ef1f32dfac35b479251a043cac496b991d0ffa,4233c9553e13046b9e62eb6849d0b1d7,27d6560c527c1b7b1b1aba7dcae079d461b7e5f9d962557f9e685b339fce9bdff7417b506c9c7173d0176703602224b74012faa3a2c38026efa9b9d33a57c9f1344e4546479ade3ecf880816fad234ae
AES,XlgK=}&<}fJ3w2C:O${X 6sN#*Js}nLf-L >w.,0853c776147e39bc0e5e6a0b22d15be39ea586beff8b4e511ac7ccf2f45195c5,0ab46396e277355c686b3da8cf0f2594,5335fbcb8f28875af5c3cfcabe91900b7ae5d57b5bad19d5681bde94ea5e09c317a89c170aa494794b9bafce9db4605d
AES,The productive nature of data integrity is evident in astronomy.,bd60cbe8878afe38e0ff1b58c3ee8b74dcbe0933d3230b0edf364f147169d7ff,327eaa5054271368e7d5f11378c19d9c,73daf2f47ed96bf0cec83b6a851843f5e23ee77f99b5578c8ffc2f28245099a9c6c890da7d8e4e3f789f3f9d4a28113c38ebd5864246b5c1299081ea9edcf1670c7720c0c43fbf326e4241210c2e98af
AES,The important nature of pandemic response is evident in social justice.,f6de0025977270995e1d2b7a9a7eac8c35844cf39fc96cb2e030a6d9185a0cd2,71b877318afd487c30f795cd4cc33cc2,29b8fa2adb8c479c665fed3e35bc29dd24a8df2cae65a85a4eccf1cf5bd6b9b71466981d0cc657876863c46b5ce218a19099955e1b22c7fab3c7ee570cd85de60203331aab59438201fef95df2c57fac
AES,"In the context of volunteerism, equality is challenging.",58d73389d8b4f1dd87d81ea6151317f7b90008b477f66ae6172ddfc0f673294e,9310cc1e94324507801a47930cb8d60e,048db4caee522149571b545ce37be3dfd30cff0ef2bfe79050c5e096d6a452272ad25c97c131f38115ee84017572d47e7ec300907675fc2aa047472ee7672e60
