algorithm,plaintext,key,iv,encrypted_message
AES,The volunteerism is a key component of community engagement.,06f50db57c46117664333a82aa4628adf24baf21367d26616f63020ea5b951f7,8855be909cbf4c1cf3f646fcfe0bb375,d3e0244d9826020568bcfae4fafe24c6c86c4099ea54e2e5ee170232ab6f09d779fcc81c4640825b97c72a63fc6516f5980514b0dab16c18c5bd67ef13b42b64
AES,"+""f&R*~?GE3%-'}}i5bMx""IB:dqN0?2/R)sHWm;\.:SP1$=]IvT7P",5bbff7147513d5e3624560a71214653e3ebe1b330c41e139b626e56e7ac0cd6c,bfa2fe6369565e48493aecfe3c625f78,d21be4cd782e874cdc0f7a3c774f167ffa28dd97ef6ea3cbe02de5b103adb5f95acd2429a91df46f8e42d34be560e0d22008fa4983964cebb4ecfb667b3c49f1
AES,The educational technology is a key component of international relations.,e229117d280cafcec62d4cbf6555bdee64da661d5226c1623cd75e225e7458db,d95b59ff2e2911759b468342e537eb26,cbfe895c730757e6280a4d0f1b21fe8f5e0340598e1218f6c108c34c00899e3951b4dd9866b490088e9f318638390eaafca0f1595cb7d2f2774d0d72be6c526ee4a1cb2bfccb0b731b385f34632d557b
AES,[GmcvmxtqF4}`}wOs NyXORrP{*,74c9b7ebe8cc4cf50c99c34ede237bf48cf3813c3f95692ccaab2d7a97444921,237b47f8047ba7480f365e62b16487f6,e670725a4301eb41262e8eef5527161c41fc068eb9c6fff7da093c3ffdf64a9e
AES,The encryption is a key component of global politics.,2226799dab3df3b994d8ee4f86398ba251c99c25ac4b6a2aac1ff426bcc4f071,b7c4f3f628754f520f27655145ed4d7c,b4f5b0c67de3dca44ba58c17e58de75376b0ec130e25c8fd0dcbd932b9d06dffd820c9c49f39f80f733e6b72d392b7dd5ccc6494069b27c13b26f0387e745a61
AES,"AP(NI_W58_EX[fUbbGZ)L""?g;w5)f",00a4ac8b1cd407d5b955a85272b4ebe5fee7d418fcd3c0925e7a7b75d4efad64,2b44ed10cbaefdeafd06401eb6901238,159fe5fe5eca00762711e9de882a98445c6c6c72e12e7086217bc849ffb65578
AES,"ar`J$Jsc<G|oszM*k~5:@a?Uj'r~usg* js{ziL}rU2$2*#JDSsDvIQPr\5|:Cd,H",c9d8ba5bbaae5f5b86a5a39702cefb83edca34ca4231b5ef2f7bdebd8b1101a1,2bce2f091a6c1075b3debf4e935c8251,4a5baeefcde2c1d5c27370fb68db2b129d056da16197bb853fa3ea1f187a10740e280e0d3572d16a84502fca88e457d1d8bfa520c6f426047075e029fed87793fcca9a6c30ce702a3dac4abab19ce24a
AES,"oE{]/$b;@Fa,GHKZQ2_~JD%ujt3{6[VP%x"";6qpUM+Ua.>LZ/@9W}%gw0aj2M)Ey""63>m^kmYF~?2&^l]>4W^""5q",b2117f2eb703a8aaf7dd12dcd130fb86edf769b050a5064d609c3f573b50e462,ae33ac437c4c5ad1f112e57d93f889be,20c81e314b36703dba999022bc3fc92380b6bdb0abc618a21cfced7987cb62743f45d52901bf4395f58b2de051706088e2d9afe4cee3f223603ae07bcd693b306cd1263951c5814ae7afba30a4faee27e81ca8449054b0622d35b876f5273bc8
AES,"p[6jJ}(FC[xQD|>TDBXQ]3:Xs""T2QYYp""+|EdDKQIc@UM*Leu)>GaGT{7KilB+t#iL{F~\**g2GYK,6kTi>A!\",33c043a141bc659ad1ef1008a43cf8e4846648bf7eb4f7dd35d3d74aacf2bfd1,1863c64fa8a00826214406178f9f61c6,794e0f4f86f632892a4bf6c9e7e35d72bf82a566194d6a5cf554e041f8170cbc65f2e329b5086375c187ae35b10b89287b043334efc929ae9044d4cb91723d79e2b860d0732a9f6c370bad10213fbf213e3a6d34dab691402545d486423d2c4e
AES,"z""GD.UhweY~tF4D%X]I{5IF 1{[T^{^wiH%7y<5jvT'LDK/7|U;n18@tD |A{E",e76f9d941561cbb84c083cf5d6d50dd23f2450cdcfaf2401bcaa476952255ec5,1cd6cb46d060fc130919e1fb217be179,4fd2e5391d7410dfa58d7b9d7e0600344571391bcfb18e29d108cc7efa9099af40f0ae955561a5895a57347d200606ba0e8124737e37e538438540d3066b676a
AES,"In the world of higher education, diplomacy plays a crucial role.",2a5eb2e3e237853d59b4a5acbd88dbc4931edcccc72ebe0aebde44a155edfcf6,3321d824805d9c14f36b505f3e82319f,62c0edf9757ae69c6d425b4ca757d2ee55c220a3238667d715eb43691eae65a8197cf75ab83573f1ba7d041ddb4814b9107c608fba2fba4ea60138decc01982c183710953aeb96dca4d9d10553c106a6
AES,4+_i#j'PVCNZfBnn{3vEK|4[D0yQ n/[Z>L7B&yc!XKPRr2%|}:;(n;a#+ujob1[sySiy/UF[Fb&]<cjRm_(]!2(AG,c8e47fe02b728ee563b2df6e4b9ff86eb06b4b73ca34a610bd0bab464058cc07,64356853e3a74538b6cb6b1eb05fb733,bfa1b1c6cc02281697649b88618d403effe4fc6f96ac6a593896b2f6c4857f067a490b1a0ba7e79f3dcfcecd6d830bd35d8426cee567faa30575413f59c9fbaf2b2c8d5058eadf5923890cf658b0ca9c7af23c6219a57fbd50fd47acdf8dcc32
